id,url,commonName,lat,lon,Total Docks
BikePoints_96,/Place/BikePoints_96,"Falkirk Street, Hoxton",51.53095,-0.078505,26
BikePoints_97,/Place/BikePoints_97,"Gloucester Road (North), Kensington",51.497924,-0.183834,18
BikePoints_98,/Place/BikePoints_98,"Hampstead Road, Euston",51.525542,-0.138231,54
BikePoints_99,/Place/BikePoints_99,"Old Quebec Street, Marylebone",51.514577,-0.158264,16
BikePoints_100,/Place/BikePoints_100,"Albert Embankment, Vauxhall",51.490435,-0.122806,24
BikePoints_101,/Place/BikePoints_101,"Queen Street 1, Bank",51.511553,-0.09294,22
BikePoints_102,/Place/BikePoints_102,"Jewry Street, Aldgate",51.513406,-0.076793,17
BikePoints_103,/Place/BikePoints_103,"Vicarage Gate, Kensington",51.504723,-0.192538,18
BikePoints_104,/Place/BikePoints_104,"Crosswall, Tower",51.511594,-0.077121,34
BikePoints_105,/Place/BikePoints_105,"Westbourne Grove, Bayswater",51.515529,-0.19024,26
BikePoints_106,/Place/BikePoints_106,"Woodstock Street, Mayfair",51.514105,-0.147301,21
BikePoints_107,/Place/BikePoints_107,"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096317,20
BikePoints_108,/Place/BikePoints_108,"Abbey Orchard Street, Westminster",51.498125,-0.132102,29
BikePoints_109,/Place/BikePoints_109,"Soho Square , Soho",51.515631,-0.132328,57
BikePoints_110,/Place/BikePoints_110,"Wellington Road, St. John's Wood",51.533043,-0.172528,17
BikePoints_111,/Place/BikePoints_111,"Park Lane , Hyde Park",51.510017,-0.157275,28
BikePoints_113,/Place/BikePoints_113,"Gloucester Road (Central), South Kensington",51.496462,-0.183289,19
BikePoints_114,/Place/BikePoints_114,"Park Road (Baker Street), The Regent's Park",51.524517,-0.158963,22
BikePoints_115,/Place/BikePoints_115,"Braham Street, Aldgate",51.514233,-0.073537,34
BikePoints_116,/Place/BikePoints_116,"Little Argyll Street, West End",51.514499,-0.141423,21
BikePoints_117,/Place/BikePoints_117,"Lollard Street, Vauxhall",51.49288,-0.114934,25
BikePoints_118,/Place/BikePoints_118,"Rochester Row, Westminster",51.495827,-0.135478,13
BikePoints_119,/Place/BikePoints_119,"Bath Street, St. Luke's",51.525893,-0.090847,18
BikePoints_120,/Place/BikePoints_120,"The Guildhall, Guildhall",51.515735,-0.09308,17
BikePoints_121,/Place/BikePoints_121,"Baker Street, Marylebone",51.518913,-0.156166,22
BikePoints_122,/Place/BikePoints_122,"Norton Folgate, Liverpool Street",51.521113,-0.078869,23
BikePoints_123,/Place/BikePoints_123,"St. John Street, Finsbury",51.52836,-0.104724,18
BikePoints_125,/Place/BikePoints_125,"Borough High Street, The Borough",51.500694,-0.094524,21
BikePoints_126,/Place/BikePoints_126,"Museum of London, Barbican",51.517821,-0.096496,52
BikePoints_127,/Place/BikePoints_127,"Wood Street, Guildhall",51.517008,-0.093885,17
BikePoints_128,/Place/BikePoints_128,"Emperor's Gate, South Kensington",51.495362,-0.185296,22
BikePoints_129,/Place/BikePoints_129,"Golden Square, Soho",51.511897,-0.137043,18
BikePoints_130,/Place/BikePoints_130,"Tower Gardens , Tower",51.509506,-0.075459,24
BikePoints_131,/Place/BikePoints_131,"Eversholt Street , Camden Town",51.533005,-0.136792,16
BikePoints_132,/Place/BikePoints_132,"Bethnal Green Road, Shoreditch",51.523648,-0.074754,38
BikePoints_133,/Place/BikePoints_133,"Derry Street, Kensington",51.501364,-0.191462,18
BikePoints_134,/Place/BikePoints_134,"Wapping High Street, Wapping",51.504904,-0.06797,20
BikePoints_135,/Place/BikePoints_135,"Clerkenwell Green, Clerkenwell",51.52326,-0.104708,21
BikePoints_136,/Place/BikePoints_136,"Queen Victoria Street, St. Paul's",51.511961,-0.097441,32
BikePoints_138,/Place/BikePoints_138,"Green Street, Mayfair",51.512276,-0.157436,19
BikePoints_139,/Place/BikePoints_139,"Lambeth Road, Vauxhall",51.494881,-0.117974,18
BikePoints_140,/Place/BikePoints_140,"Finsbury Square , Moorgate",51.520962,-0.085634,33
BikePoints_141,/Place/BikePoints_141,"Chapel Place, Marylebone",51.515308,-0.147203,29
BikePoints_142,/Place/BikePoints_142,"West Cromwell Road, Earl's Court",51.493724,-0.198286,24
BikePoints_143,/Place/BikePoints_143,"Pont Street, Knightsbridge",51.496886,-0.161203,24
BikePoints_144,/Place/BikePoints_144,"Kennington Cross, Kennington",51.48894,-0.111435,47
BikePoints_145,/Place/BikePoints_145,"Ilchester Place, Kensington",51.500743,-0.202759,24
BikePoints_146,/Place/BikePoints_146,"Vauxhall Bridge , Pimlico",51.488365,-0.129361,35
BikePoints_147,/Place/BikePoints_147,"Portugal Street, Holborn",51.514943,-0.116146,16
BikePoints_148,/Place/BikePoints_148,"Tachbrook Street, Victoria",51.492111,-0.138364,16
BikePoints_149,/Place/BikePoints_149,"Kennington Road Post Office, Oval",51.484788,-0.110683,18
BikePoints_150,/Place/BikePoints_150,"Holy Trinity Brompton, Knightsbridge",51.497056,-0.168917,28
BikePoints_151,/Place/BikePoints_151,"Chepstow Villas, Notting Hill",51.512136,-0.201554,26
BikePoints_152,/Place/BikePoints_152,"Hampton Street, Walworth",51.49217,-0.101536,21
BikePoints_153,/Place/BikePoints_153,"Bayswater Road, Hyde Park",51.511933,-0.174411,27
BikePoints_154,/Place/BikePoints_154,"Waterloo Station 3, Waterloo",51.503791,-0.112824,35
BikePoints_155,/Place/BikePoints_155,"Lexham Gardens, Kensington",51.495866,-0.191933,19
BikePoints_156,/Place/BikePoints_156,"New Kent Road, The Borough",51.494436,-0.092921,33
BikePoints_157,/Place/BikePoints_157,"Wright's Lane, Kensington",51.500397,-0.193068,37
BikePoints_158,/Place/BikePoints_158,"Trebovir Road, Earl's Court",51.490853,-0.19617,18
BikePoints_160,/Place/BikePoints_160,"Waterloo Place, St. James's",51.506633,-0.131773,20
BikePoints_161,/Place/BikePoints_161,"Guildhouse Street, Victoria",51.492345,-0.141334,16
BikePoints_162,/Place/BikePoints_162,"Southampton Place, Holborn",51.517606,-0.121328,20
BikePoints_163,/Place/BikePoints_163,"Sloane Avenue, Knightsbridge",51.493184,-0.167894,27
BikePoints_164,/Place/BikePoints_164,"Cleveland Gardens, Bayswater",51.515607,-0.183118,16
BikePoints_165,/Place/BikePoints_165,"Orsett Terrace, Bayswater",51.517932,-0.183716,15
BikePoints_166,/Place/BikePoints_166,"Seville Street, Knightsbridge",51.501855,-0.159237,27
BikePoints_167,/Place/BikePoints_167,"Eccleston Place, Victoria",51.49395,-0.147624,19
BikePoints_168,/Place/BikePoints_168,"Argyll Road, Kensington",51.500401,-0.195455,19
BikePoints_169,/Place/BikePoints_169,"Porchester Place, Paddington",51.514746,-0.165164,18
BikePoints_170,/Place/BikePoints_170,"Hardwick Street, Clerkenwell",51.527842,-0.108068,30
BikePoints_171,/Place/BikePoints_171,"Collingham Gardens, Earl's Court",51.491615,-0.186753,14
BikePoints_172,/Place/BikePoints_172,"Sumner Place, South Kensington",51.491211,-0.173715,19
BikePoints_173,/Place/BikePoints_173,"Waterloo Road, South Bank",51.50486,-0.113001,15
BikePoints_175,/Place/BikePoints_175,"Worship Street, Shoreditch",51.521668,-0.079608,51
BikePoints_176,/Place/BikePoints_176,"Gloucester Terrace, Bayswater",51.517919,-0.188098,23
BikePoints_177,/Place/BikePoints_177,"Ashley Place, Victoria",51.49616,-0.140947,25
BikePoints_178,/Place/BikePoints_178,"Warwick Square, Pimlico",51.489856,-0.141923,19
BikePoints_180,/Place/BikePoints_180,"North Audley Street, Mayfair",51.512911,-0.153645,17
BikePoints_181,/Place/BikePoints_181,"Belgrave Square, Belgravia",51.499412,-0.152317,21
BikePoints_182,/Place/BikePoints_182,"Bell Street , Marylebone",51.522029,-0.165842,18
BikePoints_183,/Place/BikePoints_183,"Riverlight North, Nine Elms",51.482362,-0.136123,24
BikePoints_184,/Place/BikePoints_184,"Portland Place, Marylebone",51.520715,-0.145211,34
BikePoints_185,/Place/BikePoints_185,"Alderney Street, Pimlico",51.488057,-0.140741,14
BikePoints_186,/Place/BikePoints_186,"South Wharf Road, Paddington",51.517335,-0.17581,16
BikePoints_187,/Place/BikePoints_187,"Queen's Gate (South), South Kensington",51.492479,-0.178433,25
BikePoints_188,/Place/BikePoints_188,"Nutford Place, Marylebone",51.516517,-0.164393,18
BikePoints_189,/Place/BikePoints_189,"Claremont Square, Angel",51.531666,-0.109914,18
BikePoints_190,/Place/BikePoints_190,"Rampayne Street, Pimlico",51.489975,-0.132845,21
BikePoints_191,/Place/BikePoints_191,"Hyde Park Corner, Hyde Park",51.503117,-0.15352,36
BikePoints_192,/Place/BikePoints_192,"Wardour Street, Soho",51.512515,-0.133201,16
BikePoints_193,/Place/BikePoints_193,"Bankside Mix, Bankside",51.505817,-0.100186,60
BikePoints_194,/Place/BikePoints_194,"Hop Exchange, The Borough",51.504627,-0.091773,56
BikePoints_195,/Place/BikePoints_195,"Milroy Walk, South Bank",51.507244,-0.106237,30
BikePoints_196,/Place/BikePoints_196,"Union Street, The Borough",51.503688,-0.098497,17
BikePoints_197,/Place/BikePoints_197,"Stamford Street, South Bank",51.505569,-0.111606,27
BikePoints_199,/Place/BikePoints_199,"Great Tower Street, Monument",51.510484,-0.082989,24
BikePoints_200,/Place/BikePoints_200,"LMU Commercial Road, Whitechapel",51.514924,-0.066078,14
BikePoints_201,/Place/BikePoints_201,"Dorset Square, Marylebone",51.522596,-0.161113,16
BikePoints_202,/Place/BikePoints_202,"Leman Street, Aldgate",51.512363,-0.069542,37
BikePoints_203,/Place/BikePoints_203,"West Smithfield Rotunda, Farringdon",51.518218,-0.100791,15
BikePoints_204,/Place/BikePoints_204,"Margery Street, Clerkenwell",51.526599,-0.112432,19
BikePoints_206,/Place/BikePoints_206,"New Road 1 , Whitechapel",51.518154,-0.062697,36
BikePoints_207,/Place/BikePoints_207,"Grosvenor Crescent, Belgravia",51.501352,-0.153194,18
BikePoints_208,/Place/BikePoints_208,"Mallory Street, Marylebone",51.525051,-0.166304,20
BikePoints_209,/Place/BikePoints_209,"Denyer Street, Knightsbridge",51.493583,-0.165101,30
BikePoints_210,/Place/BikePoints_210,"Hinde Street, Marylebone",51.516814,-0.151926,21
BikePoints_211,/Place/BikePoints_211,"Cadogan Place, Knightsbridge",51.494645,-0.158105,34
BikePoints_212,/Place/BikePoints_212,"Campden Hill Road, Notting Hill",51.506584,-0.199004,17
BikePoints_213,/Place/BikePoints_213,"Wellington Arch, Hyde Park",51.50274,-0.149569,36
BikePoints_214,/Place/BikePoints_214,"Endsleigh Gardens, Euston",51.526838,-0.130504,32
BikePoints_215,/Place/BikePoints_215,"Moorfields, Moorgate",51.519069,-0.088285,54
BikePoints_216,/Place/BikePoints_216,"Old Brompton Road, South Kensington",51.490945,-0.18119,30
BikePoints_217,/Place/BikePoints_217,"Wormwood Street, Liverpool Street",51.516154,-0.082422,16
BikePoints_218,/Place/BikePoints_218,"St. Luke's Church, Chelsea",51.489716,-0.170194,20
BikePoints_219,/Place/BikePoints_219,"Bramham Gardens, Earl's Court",51.490163,-0.190393,29
BikePoints_220,/Place/BikePoints_220,"Chelsea Green, Chelsea",51.490664,-0.166485,15
BikePoints_221,/Place/BikePoints_221,"Horseferry Road, Westminster",51.494816,-0.130458,16
BikePoints_222,/Place/BikePoints_222,"Knightsbridge, Hyde Park",51.502757,-0.155349,43
BikePoints_223,/Place/BikePoints_223,"Rodney Road , Walworth",51.491484,-0.09022,24
BikePoints_224,/Place/BikePoints_224,"Queensway, Kensington Gardens",51.51031,-0.187402,17
BikePoints_225,/Place/BikePoints_225,"Notting Hill Gate Station, Notting Hill",51.509353,-0.196422,30
BikePoints_226,/Place/BikePoints_226,"Charles II Street, West End",51.508446,-0.131961,24
BikePoints_227,/Place/BikePoints_227,"Great Percy Street, Clerkenwell",51.528915,-0.11548,23
BikePoints_228,/Place/BikePoints_228,"St. James's Square, St. James's",51.507424,-0.134621,40
BikePoints_229,/Place/BikePoints_229,"Whitehall Place, Strand",51.506543,-0.123179,46
BikePoints_230,/Place/BikePoints_230,"Poured Lines, Bankside",51.506692,-0.103137,31
BikePoints_231,/Place/BikePoints_231,"Queen's Gate (Central), South Kensington",51.493967,-0.178732,31
BikePoints_232,/Place/BikePoints_232,"Carey Street, Holborn",51.51501,-0.112753,16
BikePoints_233,/Place/BikePoints_233,"Pall Mall East, West End",51.50777,-0.130699,22
BikePoints_234,/Place/BikePoints_234,"Liverpool Road (N1 Centre), Angel",51.534504,-0.106992,24
BikePoints_235,/Place/BikePoints_235,"Kennington Road, Vauxhall",51.495718,-0.110889,36
BikePoints_236,/Place/BikePoints_236,"Fashion Street, Whitechapel",51.51838,-0.073438,30
BikePoints_237,/Place/BikePoints_237,"Dock Street, Wapping",51.509786,-0.068161,30
BikePoints_238,/Place/BikePoints_238,"Frampton Street, Paddington",51.523353,-0.175116,32
BikePoints_239,/Place/BikePoints_239,"Warren Street Station, Euston",51.524438,-0.138019,26
BikePoints_240,/Place/BikePoints_240,"Colombo Street, Southwark",51.505459,-0.105692,14
BikePoints_242,/Place/BikePoints_242,"Beaumont Street, Marylebone",51.522008,-0.151359,23
BikePoints_243,/Place/BikePoints_243,"Gloucester Street, Pimlico",51.490962,-0.139625,25
BikePoints_244,/Place/BikePoints_244,"Earnshaw Street , Covent Garden",51.516118,-0.128585,18
BikePoints_245,/Place/BikePoints_245,"Grosvenor Road, Pimlico",51.485357,-0.142207,29
BikePoints_246,/Place/BikePoints_246,"Berry Street, Clerkenwell",51.522853,-0.099994,41
BikePoints_247,/Place/BikePoints_247,"St. John's Wood Church, The Regent's Park",51.530529,-0.167515,50
